id_lokalId,byg026Opførelsesår,byg069Sikringsrumpladser,status,decade,latitude,longitude,oc_confidence,oc_formatted,oc_category,oc_type
AB6E50D7-ECB6-430C-8496-88ECBF1E45EE,1965,55,6,1960s,56.16207913672775,10.211676048579282,9,"7-Eleven Nørreport, Knudrisgade, 8000 Aarhus C, Denmark",commerce,shop
B6AEC09A-AA51-497A-B752-F8645676DC73,1973,680,6,1970s,56.20378217159272,10.21791581701729,9,"Ellevangskolen, Espedalen, 8240 Risskov, Denmark",education,school
D381E479-8912-4BD8-902E-A48F31EE6247,1981,139,6,1980s,56.10554970126082,10.145918094796032,10,"Sukkertrolden, Christian X's Vej, 8310 Tranbjerg, Denmark",building,building
334B1E0E-D1D4-431B-8311-7B44210BC57C,1952,60,6,1950s,56.17567276733329,10.19998827679363,10,"Oslogade 14, 8200 Aarhus N, Denmark",building,building
A5703EEF-7618-44B7-B9F5-ED9F96D816FF,1954,158,6,1950s,56.176104177150094,10.204679666351735,10,"Marius Simonsens Vej 19, 8200 Aarhus N, Denmark",building,building
01050C7F-D11F-4F97-BF35-AA2C9965CEBC,1966,251,6,1960s,56.18929933771775,10.112079476914575,9,"Tilst Skole, Tilst Skolevej, 8381 Tilst, Denmark",education,school
B57E3863-383E-41C6-B2F1-B7F1132465A2,1970,50,6,1970s,56.1501087619752,10.124159501870425,10,"Engdalsvej 93A, 8220 Brabrand, Denmark",building,building
7C835074-25B6-46E8-B113-500BBA5AF45D,1952,536,6,1950s,56.15256094554676,10.110255796806062,9,"Engdalskolen, Engdalsvej, 8220 Brabrand, Denmark",education,school
6CE7F18F-3B76-4CDA-AFB4-9004443AB366,1966,200,10,1960s,56.13526355574239,10.207767562964039,9,"Stefanshjemmet, Carl Nielsens Vej, 8000 Aarhus C, Denmark",social,social_facility
C7733ECC-60E1-4736-9D6C-F71AC087D261,1932,200,6,1930s,56.13486299881789,10.20766473307579,10,"Carl Nielsens Vej 2, 8000 Aarhus C, Denmark",building,building
